step,action,reward,done,agent_x,agent_y,agent_z,agent_energy,altitude,steps_so_far,energy,total_nectar_collected,flowers_found_this_episode,last_flower_visited,nearest_flower_distance
95,3,-0.06620000000000001,False,2.0,1.0,3.0,67.5999984741211,3.0,96,67.59999999999997,60.599998474121094,0,-1,1.3731147050857544
96,4,-0.06690000000000002,False,2.0,1.0,4.0,66.19999694824219,4.0,97,66.19999999999996,60.599998474121094,0,-1,2.1276159286499023
97,2,-0.06740000000000002,False,1.0,1.0,4.0,65.19999694824219,4.0,98,65.19999999999996,60.599998474121094,0,-1,2.7072994709014893
98,4,-0.06810000000000002,False,1.0,1.0,5.0,63.79999923706055,5.0,99,63.79999999999996,60.599998474121094,0,-1,1.9934210777282715
99,3,-0.06860000000000002,False,2.0,1.0,5.0,62.79999923706055,5.0,100,62.79999999999996,60.599998474121094,0,-1,2.0596601963043213
100,5,-0.06895000000000003,False,2.0,1.0,4.0,62.099998474121094,4.0,101,62.09999999999996,60.599998474121094,0,-1,2.1276159286499023
101,2,-0.06945000000000003,False,1.0,1.0,4.0,61.099998474121094,4.0,102,61.09999999999996,60.599998474121094,0,-1,2.7072994709014893
102,3,-0.06995000000000003,False,2.0,1.0,4.0,60.099998474121094,4.0,103,60.09999999999996,60.599998474121094,0,-1,2.1276159286499023
103,3,-0.07045000000000003,False,3.0,1.0,4.0,59.099998474121094,4.0,104,59.09999999999996,60.599998474121094,0,-1,1.89146888256073
104,5,29.943199999999997,False,3.0,1.0,3.0,86.4000015258789,3.0,105,86.39999999999995,75.5999984741211,0,-1,0.9676510691642761
105,5,29.948999999999998,False,3.0,1.0,2.0,98.0,2.0,106,98.0,90.5999984741211,0,-1,0.543178379535675
106,1,29.948999999999998,False,3.0,2.0,2.0,98.0,2.0,107,98.0,91.19999694824219,0,-1,0.5204571485519409
107,1,-0.051500000000000004,False,3.0,3.0,2.0,97.0,2.0,108,97.0,91.19999694824219,0,-1,1.498902440071106
108,3,-0.052000000000000005,False,4.0,3.0,2.0,96.0,2.0,109,96.0,91.19999694824219,0,-1,1.815933108329773
109,4,-0.052700000000000004,False,4.0,3.0,3.0,94.5999984741211,3.0,110,94.6,91.19999694824219,0,-1,1.9846709966659546
110,4,-0.0534,False,4.0,3.0,4.0,93.19999694824219,4.0,111,93.19999999999999,91.19999694824219,0,-1,1.6589767932891846
111,3,-0.0539,False,5.0,3.0,4.0,92.19999694824219,4.0,112,92.19999999999999,91.19999694824219,0,-1,1.2619074583053589
112,4,29.948999999999998,False,5.0,3.0,5.0,98.0,5.0,113,98.0,106.19999694824219,0,-1,0.9983274340629578
113,4,-0.0517,False,5.0,3.0,6.0,96.5999984741211,6.0,114,96.6,106.19999694824219,0,-1,1.5494853258132935
114,0,-0.0522,False,5.0,2.0,6.0,95.5999984741211,6.0,115,95.6,106.19999694824219,0,-1,1.2050482034683228
115,0,-0.052700000000000004,False,5.0,1.0,6.0,94.5999984741211,6.0,116,94.6,106.19999694824219,0,-1,1.5822064876556396
116,5,29.948999999999998,False,5.0,1.0,5.0,98.0,5.0,117,98.0,121.19999694824219,0,-1,1.048393964767456
117,5,-0.05135000000000001,False,5.0,1.0,4.0,97.30000305175781,4.0,118,97.3,121.19999694824219,0,-1,1.3018765449523926
118,4,29.948999999999998,False,5.0,1.0,5.0,98.0,5.0,119,98.0,123.0,0,-1,1.048393964767456
119,6,-5.052099999999999,False,5.0,1.0,5.0,95.80000305175781,5.0,120,95.8,123.0,0,-1,1.048393964767456
120,0,-0.05260000000000001,False,5.0,0.0,5.0,94.80000305175781,5.0,121,94.8,123.0,0,-1,2.0372445583343506
121,2,-0.05310000000000001,False,4.0,0.0,5.0,93.80000305175781,5.0,122,93.8,123.0,0,-1,2.3043782711029053
122,1,-0.05360000000000001,False,4.0,1.0,5.0,92.80000305175781,5.0,123,92.8,123.0,0,-1,1.5029716491699219
123,1,-5.0541,False,4.0,2.0,5.0,91.80000305175781,5.0,124,91.8,123.0,0,-1,1.098948359489441
124,1,-0.05460000000000001,False,4.0,3.0,5.0,90.80000305175781,5.0,125,90.8,123.0,0,-1,1.4684860706329346
125,5,-0.054950000000000006,False,4.0,3.0,4.0,90.0999984741211,4.0,126,90.1,123.0,0,-1,1.6589767932891846
126,2,-0.055450000000000006,False,3.0,3.0,4.0,89.0999984741211,4.0,127,89.1,123.0,0,-1,2.3514506816864014
127,1,-0.05595000000000001,False,3.0,4.0,4.0,88.0999984741211,4.0,128,88.1,123.0,0,-1,2.5543675422668457
128,3,-0.05645,False,4.0,4.0,4.0,87.0999984741211,4.0,129,87.1,123.0,0,-1,2.3876700401306152
129,3,-0.05695,False,5.0,4.0,4.0,86.0999984741211,4.0,130,86.1,123.0,0,-1,2.1310031414031982
130,0,-0.05745,False,5.0,3.0,4.0,85.0999984741211,4.0,131,85.1,123.0,0,-1,1.2619074583053589
131,2,-0.05795,False,4.0,3.0,4.0,84.0999984741211,4.0,132,84.1,123.0,0,-1,1.6589767932891846
132,0,-0.05845,False,4.0,2.0,4.0,83.0999984741211,4.0,133,83.1,123.0,0,-1,1.342922329902649
133,5,-0.058800000000000005,False,4.0,2.0,3.0,82.4000015258789,3.0,134,82.39999999999999,123.0,0,-1,1.40110182762146
134,3,-0.059300000000000005,False,5.0,2.0,3.0,81.4000015258789,3.0,135,81.39999999999999,123.0,0,-1,1.799833059310913
135,6,-0.06040000000000001,False,5.0,2.0,3.0,79.19999694824219,3.0,136,79.19999999999999,123.0,0,-1,1.799833059310913
