model,factor,max_energy,episode,steps,nectar,energy_end,died
autonomous_training_1_25000k.zip,1.0,100,48,300,135.59998,79.59999999999994,0
autonomous_training_1_25000k.zip,1.0,100,49,185,45,-0.799999999999988,1
autonomous_training_1_25000k.zip,1.25,125,0,300,105.6,27.699999999999974,0
autonomous_training_1_25000k.zip,1.25,125,1,300,38.299984,117.6,0
autonomous_training_1_25000k.zip,1.25,125,2,300,120,48.200000000000024,0
autonomous_training_1_25000k.zip,1.25,125,3,300,180.2,109.3,0
autonomous_training_1_25000k.zip,1.25,125,4,300,180.2,70.09999999999995,0
autonomous_training_1_25000k.zip,1.25,125,5,126,0,-1.5543122344752192e-15,1
autonomous_training_1_25000k.zip,1.25,125,6,300,167.50003,103.69999999999997,0
autonomous_training_1_25000k.zip,1.25,125,7,300,198.59999,98.39999999999998,0
autonomous_training_1_25000k.zip,1.25,125,8,293,86.69998,-0.2000000000000186,1
autonomous_training_1_25000k.zip,1.25,125,9,265,65.39999,-0.30000000000009464,1
autonomous_training_1_25000k.zip,1.25,125,10,127,15,-0.30000000000000604,1
autonomous_training_1_25000k.zip,1.25,125,11,300,58.800003,75.99999999999993,0
autonomous_training_1_25000k.zip,1.25,125,12,300,119.6,52.39999999999999,0
autonomous_training_1_25000k.zip,1.25,125,13,126,0,-0.40000000000001523,1
autonomous_training_1_25000k.zip,1.25,125,14,300,74.999985,75.99999999999993,0
autonomous_training_1_25000k.zip,1.25,125,15,182,30,-0.49999999999999467,1
autonomous_training_1_25000k.zip,1.25,125,16,209,45,-7.993605777301127e-15,1
autonomous_training_1_25000k.zip,1.25,125,17,184,45,-0.400000000000005,1
autonomous_training_1_25000k.zip,1.25,125,18,185,45.6,-0.10000000000004561,1
autonomous_training_1_25000k.zip,1.25,125,19,299,124.69996,-0.19999999999999374,1
autonomous_training_1_25000k.zip,1.25,125,20,153,33.0,-0.30000000000000315,1
autonomous_training_1_25000k.zip,1.25,125,21,126,0,-0.40000000000000724,1
autonomous_training_1_25000k.zip,1.25,125,22,300,147.29999,50.09999999999992,0
autonomous_training_1_25000k.zip,1.25,125,23,300,79.19999,74.99999999999989,0
autonomous_training_1_25000k.zip,1.25,125,24,128,15,-0.7999999999999987,1
autonomous_training_1_25000k.zip,1.25,125,25,182,30,-0.10000000000001363,1
autonomous_training_1_25000k.zip,1.25,125,26,300,100.19999,19.399999999999984,0
autonomous_training_1_25000k.zip,1.25,125,27,300,97.799965,16.400000000000002,0
autonomous_training_1_25000k.zip,1.25,125,28,237,60,-0.29999999999999893,1
autonomous_training_1_25000k.zip,1.25,125,29,300,71.999985,48.099999999999994,0
autonomous_training_1_25000k.zip,1.25,125,30,237,54.90001,-0.699999999999986,1
autonomous_training_1_25000k.zip,1.25,125,31,182,30,-0.8000000000000131,1
autonomous_training_1_25000k.zip,1.25,125,32,238,58.19999,-0.80000000000002,1
autonomous_training_1_25000k.zip,1.25,125,33,126,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,1.25,125,34,300,60.099976,104.89999999999999,0
